study_id,year,country,study_site,sensor_type,research_topic,coord_lat,coord_lon,coord_method,coord_is_midpoint
172,2024,Cameroon,Dja Faunal Reserve,LiDAR,Animal ecology,3.183333333333333,12.8,parsed,FALSE
1,2020,Brazil,Estac ̧ão Experimental de Silvicultura Tropical,RGB,Forest structure/dynamics,-10.639048767332678,-53.21573392374128,centroid,FALSE
96,2024,Mexico,Los Arboles Tulum,"RGB, Thermal","Animal ecology, Animal identification",20.297222222222224,-87.51638888888888,parsed,FALSE
134,2023,Nigeria,Omo Forest Reserve,RGB,Forest structure/dynamics,9.590945570096185,8.079586854238343,centroid,FALSE
63,2025,Mauritius,"Balfour Garden, Gorges Viewpoint and Grand Bassin","RGB, Thermal","Animal identification, Animal ecology",-0.25,57.583333333333336,parsed,FALSE
158,2022,USA,Howland research forest northeast of Bangor in the U.S. state of Maine; Lope National Park located in central Gabon,LiDAR,Forest structure/dynamics,45.17166666666667,-68.57277777777777,parsed,TRUE
35,2016,Malawi,Muyobe community forest reserve,RGB,Forest structure/dynamics,-11.5833,34.0833,existing,FALSE
193,2025,Panama,"Matusagaratí  complex  of  wetlands,  in  Darien  Province,  Pacific  Panama",RGB,NA,8.1694,-77.8981,existing,FALSE
155,2021,Malaysia,"southeast Sabah, Malaysia","RGB, LiDAR",Animal ecology,4.763595,117.24689,parsed,FALSE
9,2021,Brazil,Acre state (private property near Rio Branco),RGB,Forest structure/dynamics,-9.986111,-68.1925,existing,TRUE
10,2025,Brazil,Sergipe state,RGB,"Forest structure/dynamics, Carbon and nutrient fluxes",-11.0125,-37.258333,existing,TRUE
14,2021,Vietnam,Ngoc Linh Nature Reserve,RGB,"Phenology, Forest structure/dynamics",15.098276,107.905771,existing,FALSE
24,2023,Brazil,State of Rondônia,RGB,Forest structure/dynamics,-10.945616,-62.840904,existing,FALSE
41,2022,Brazil,Rio Negro River (near Manaus),Atmospheric sampler,Carbon and nutrient fluxes,-3.0708,-60.3604,existing,FALSE
44,2021,Costa Rica,"Arenal, Turrialba-Irazú, Cervantes lava flow, Reventado river",RGB,"Forest structure/dynamics, Animal ecology",10,-84,existing,FALSE
