Study ID,Flag Analysis,Flag Clean,Screener,Extractor,Title,Authors,Journal name,Publication year,DOI/URL,Abstract,Country of study,Country of first author's affiliation,Climatic zone,Ecosystem Type,Study site,Location coordinates,coordinate source,Location coordinates - CLEAN,UAV Platform Type,UAV Model,Sensor Type,Sensor Model,Spatial resolution,spatial_resolution_clean,Spatial extent,spatial_extent_clean,More on spatial study design,Time series ,Temporal duration,Temporal resolution,More on temporal study design,Altitude Above Ground Level (AGL),Variables calculated,Other data included,Research topic,Objectives of the study,Key findings of the study,Role of drone data in study,Associated protocols,Associated data/imagery,Associated code
172,,,LW,HJ,Three-dimensional vegetation structure drives patterns of seed dispersal by African hornbills,"['Russo, NJ', 'Nshom, DL', 'Ferraz, A', 'Barbier, N', 'Wikelski, M', 'Noonan, MJ', 'Ordway, EM', 'Saatchi, S', 'Smith, TB']",JOURNAL OF ANIMAL ECOLOGY,2024,10.1111/1365-2656.14202,"Three-dimensional (3D) vegetation structure influences animal movements and, consequently, ecosystem functions. Animals disperse the seeds of 60%-90% of trees in tropical rainforests, which are among the most structurally complex ecosystems on Earth. Here, we investigated how 3D rainforest structure influences the movements of large, frugivorous birds and resulting spatial patterns of seed dispersal. We GPS-tracked white-thighed (Bycanistes albotibialis) and black-casqued hornbills (Ceratogymna atrata) in a study area surveyed by light detection and ranging (LiDAR) in southern Cameroon. We found that both species preferred areas of greater canopy height and white-thighed hornbill preferred areas of greater vertical complexity. In addition, 33% of the hornbills preferred areas close to canopy gaps, while 16.7% and 27.8% avoided large and small gaps, respectively. White-thighed hornbills avoided swamp habitats, while black-casqued increased their preference for swamps during the hottest temperatures. We mapped spatial probabilities of seed dispersal by hornbills, showing that 3D structural attributes shape this ecological process by influencing hornbill behaviour. These results provide evidence of a possible feedback loop between rainforest vegetation structure and seed dispersal by animals. Interactions between seed dispersers and vegetation structure described here are essential for understanding ecosystem functions in tropical rainforests and critical for predicting how rainforests respond to anthropogenic impacts. This study shows how 3D vegetation structure shapes spatial patterns of seed dispersal by influencing hornbill habitat selection. The seed dispersal modelling framework can be applied to any system with available animal movement data, providing a method to quantify the spatial probability of events occurring due to animal habitat selection.image",Cameroon,USA,Wet tropical,Forest,Dja Faunal Reserve,"3°11′N, 12°48′ E",,,not reported,Not listed,LiDAR,Zenmuse L1 waveform scanner,300 points m−,300 ppm,25 km2,25 km2,Scan of study area completed,no,1 month,1 scan,1 scan completed in March 2022,Not listed,"Canopy Height Model, Vertical Forest Structure, Distance to Canopy Gaps","Distance to small canopy gaps, Distance to large canopy gaps",Animal ecology,Understand how 3D forest structure influences the movement and subsequent seed dispersal behavior of hornbills,3D structure influences hornbill behavior and habitat suitability,Used to collect 3D forest structure data,Not listed,"https:// doi.org/10.6084/m9.figshare.25857385.v, (movebank.org,  study name “Hornbill e-obs Cameroon”, study ID 2016993973)",Not listed
1,,,LW,HJ,Integrating high resolution drone imagery and forest inventory to distinguish canopy and understory trees and quantify their contributions to forest structure and dynamics,"['Araujo, RF', 'Chambers, JQ', 'Celes, CHS', 'Muller-Landau, HC', 'dos Santos, APF', 'Emmert, F', 'Ribeiro, GHPM', 'Gimenez, BO', 'Lima, AJN', 'Campos, MAA', 'Higuchi, N']",PLOS ONE,2020,10.1371/journal.pone.0243079,"Tree growth and survival differ strongly between canopy trees (those directly exposed to overhead light), and understory trees. However, the structural complexity of many tropical forests makes it difficult to determine canopy positions. The integration of remote sensing and ground-based data enables this determination and measurements of how canopy and understory trees differ in structure and dynamics. Here we analyzed 2 cm resolution RGB imagery collected by a Remotely Piloted Aircraft System (RPAS), also known as drone, together with two decades of bi-annual tree censuses for 2 ha of old growth forest in the Central Amazon. We delineated all crowns visible in the imagery and linked each crown to a tagged stem through field work. Canopy trees constituted 40% of the 1244 inventoried trees with diameter at breast height (DBH) > 10 cm, and accounted for similar to 70% of aboveground carbon stocks and wood productivity. The probability of being in the canopy increased logistically with tree diameter, passing through 50% at 23.5 cm DBH. Diameter growth was on average twice as large in canopy trees as in understory trees. Growth rates were unrelated to diameter in canopy trees and positively related to diameter in understory trees, consistent with the idea that light availability increases with diameter in the understory but not the canopy. The whole stand size distribution was best fit by a Weibull distribution, whereas the separate size distributions of understory trees or canopy trees > 25 cm DBH were equally well fit by exponential and Weibull distributions, consistent with mechanistic forest models. The identification and field mapping of crowns seen in a high resolution orthomosaic revealed new patterns in the structure and dynamics of trees of canopy vs. understory at this site, demonstrating the value of traditional tree censuses with drone remote sensing.",Brazil,Brazil,Wet tropical,Forest,Estac ̧ão Experimental de Silvicultura Tropical,Not listed,,,Multi-rotor,DJI Phantom 2,RGB,Not listed,2 cm,.02 m,0.02 km2,0.02 km2,Scan of 51 20 m x 20 m subplots,no,1 month,1 scan,1 scan completed in April 2016,80 m,Canopy Tree Deliniation,Linked to field inventory data,Forest structure/dynamics,Understand differences in growth and survival between canopy and understory tree individuals,Diameter growth twice as large for canopy than understory trees,Used to delineate and identify individual canopy trees in the study,Not listed,Not listed,Not listed
96,,,LW,HJ,Evaluating Thermal Infrared Drone Flight Parameters on Spider Monkey Detection in Tropical Forests,"['Pinel-Ramos, EJ', 'Aureli, F', 'Wich, S', 'Longmore, S', 'Spaan, D']",SENSORS,2024,10.3390/s24175659,"Geoffroy's spider monkeys, an endangered, fast-moving arboreal primate species with a large home range and a high degree of fission-fusion dynamics, are challenging to survey in their natural habitats. Our objective was to evaluate how different flight parameters affect the detectability of spider monkeys in videos recorded by a drone equipped with a thermal infrared camera and examine the level of agreement between coders. We used generalized linear mixed models to evaluate the impact of flight speed (2, 4, 6 m/s), flight height (40, 50 m above ground level), and camera angle (-45 degrees, -90 degrees) on spider monkey counts in a closed-canopy forest in the Yucatan Peninsula, Mexico. Our results indicate that none of the three flight parameters affected the number of detected spider monkeys. Agreement between coders was ""substantial"" (Fleiss' kappa coefficient = 0.61-0.80) in most cases for high thermal-contrast zones. Our study contributes to the development of standardized flight protocols, which are essential to obtain accurate data on the presence and abundance of wild populations. Based on our results, we recommend performing drone surveys for spider monkeys and other medium-sized arboreal mammals with a small commercial drone at a 4 m/s speed, 15 m above canopy height, and with a -90 degrees camera angle. However, these recommendations may vary depending on the size and noise level produced by the drone model.",Mexico,Mexico,Wet tropical,Forest,Los Arboles Tulum,"20◦17′50′′ N, 87◦30′59′′ W",,,Multi-rotor,DJI Mavic 2 Enterprise Advance,"RGB, Thermal",TIR,Variable,,Not listed,,Repeated flights over areas known to host sleeping spider monkeys,no,Not listed,1 scan,8 flights at different altitudes and parameters performed at each of 40 known roosting locations,"Variable, 40m - 50m",Animal Detection,Not listed,"Animal ecology, Animal identification",Understand the effect of different flight parameters on the ability to detect spider monkeys from thermal imagery,None of the flight parameters tested affected detection ability,Used to detect monkeys,Not listed,https://doi.org/10.6084/m9.figshare.26359423,Not listed
134,,,LW,HJ,Application of UAV photogrammetry for the assessment of forest structure and species network in the tropical forests of Southern Nigeria,"['Akinbiola, S', 'Salami, AT', 'Awotoye, OO', 'Popoola, SO', 'Olusola, JA']",GEOCARTO INTERNATIONAL,2023,10.1080/10106049.2023.2190621,"Using the object-based image analysis (OBIA) technique, this study examined structural characteristics, quantified carbon stocks, and identified tree species in the tropical forests of southwestern Nigeria. The Structure from Motion (SfM) technique was used to produce orthomosaics with a ground sampling distance of 10 m from orthophotos recorded during a survey and optimized for forest assessment with the near-infrared band. In addition to tree species variables, GPS coordinates, tree diameter, and tree crown were all employed to estimate carbon stock in the study area. Carbon stock estimates of 450 tons per hectare were estimated , with a tree-specific range of 65 kg per tree to 8,488 kg per tree. There was a correlation between tree canopies and diameters, but no conclusive relationships between tree species distribution and position in their natural formations. OBIA significantly enhanced the current carbon inventory and provided a spatial characterization of species distribution in the research area.",Nigeria,Nigeria,Moist tropical,Forest,Omo Forest Reserve,"4 12’31.41"" and 4 42’55.82"" east and latitudes 7 1’7.67"" and 6 44’58.52"" north",,,Fixed-wing,Sense fly E-Bee,RGB,Canon Power Shot S110,10.39 cm,.1039 m,2.9 km2,2.9 km2,Sampling plots within study area,no,Not listed,1 scan,1 scan completed,500 m,"Biomass Estimation, Canopy Tree Deliniation",Linked to field inventory data,Forest structure/dynamics,Compared pixel-based classification and object-based classification for tree species identification and biomass estimation,Object-based classification improves species identification and structure measurement,Used to identify species for estimating biomass,Not listed,Not listed,Not listed
63,,,LW,HJ,Improving primate detection using thermal infrared imaging: availability and observer errors in drone surveys of mixed tropical forests,"['Reinegger, RD', 'Bissessur, P', 'Meereechpersad, I', 'Bhanda, G', 'Gazagne, E', 'Jones, G']",INTERNATIONAL JOURNAL OF REMOTE SENSING,2025,10.1080/01431161.2025.2505255,"Drones with thermal infrared (TIR) cameras are increasingly used to survey terrestrial endotherms, including primates, but the relative lack of standardized protocols hampers their effectiveness. Detection errors, both observer (animal is available for detection but missed/misidentified by the observer) and availability errors (animal is present but unavailable for detection), vary across species, habitats and flight parameters, and may be exacerbated by anti-predator responses. We evaluated the suitability of drone-mounted TIR cameras in surveys of long-tailed macaques (Macaca fascicularis) by measuring detection errors for different flight altitudes (70, 60, 50 and 40 m above ground level [AGL]) and camera angles (45 degrees and 90 degrees) in two secondary forest habitats in Mauritius, characterized by open canopy with low thermal contrast and closed canopy with high thermal contrast. First, we determined the true size of three habituated macaque groups with full-day follows, and assessed their response to the drone. Next, we measured availability error (detection rate) in TIR videos after correcting for observer error (misidentification rate) using corresponding red-green-blue (RGB) videos. Finally, we assessed whether adjusting counts with mean detection rates improved group size estimates for different flight parameter combinations. Both error types were lowest for morning flights at 50 and 60 m AGL (40 and 50 m above canopy respectively) and with 45 degrees camera angle in high thermal contrast conditions. The higher detection rates at 50 and 60 m compared to 40 m resulted from milder anti-predator behaviours (increased vigilance instead of dispersal). In secondary forest habitats with few dominant canopy species (e.g. Eucalyptus, Litsea and Pinus spp.), and for primate species with behavioural ecology comparable to long-tailed macaques, we recommend surveying at 40-50 m above closed-canopy vegetation with a 45 degrees camera angle. With other flight parameters, we recommend incorporating detection rates from this study, along with their errors, into final counts.",Mauritius,UK,Wet tropical,Forest,"Balfour Garden, Gorges Viewpoint and Grand Bassin","0°15’S and 57°35’E,",,,Multi-rotor,DJI Mavic 3T,"RGB, Thermal",TIR,Variable,,Not listed,,Line transects along sleeping locations of macaques,no,6 months,1 scan,Scans completed at night after monkeys fall asleep and in the morning before they wake up,"Variable, 40 m, 50 m, 60 m, 70 m",Animal Detection,Not listed,"Animal identification, Animal ecology",Understand the effect of different flight parameters on the ability to detect macaques from thermal imagery,"Recommend surveying at 40–50 m aboveclosed-canopy vegetation with a 45° camera angle, incorporating detection error into studies using drones to identify monkeys",Used to detect monkeys,Not listed,Available on reasonable request,Not listed
158,,,HJ,OP,PolGAN: A deep-learning-based unsupervised forest height estimation based on the synergy of PolInSAR and LiDAR data,"['Zhang, Q', 'Ge, LL', 'Hensley, S', 'Metternicht, GI', 'Liu, C', 'Zhang, RH']",Journal of Photogrammetry and Remote Sensing,2022,10.1016/j.isprsjprs.2022.02.008,"This paper describes a deep-learning-based unsupervised forest height estimation method based on the synergy of the high-resolution L-band repeat-pass Polarimetric Synthetic Aperture Radar Interferometry (PolInSAR) and low-resolution large-footprint full-waveform Light Detection and Ranging (LiDAR) data. Unlike traditional PolInSAR-based methods, the proposed method reformulates the forest height inversion as a pan-sharpening process between the low-resolution LiDAR height and the high-resolution PolSAR and PolInSAR features. A tailored Generative Adversarial Network (GAN) called PolGAN with one generator and dual (coherence and spatial) discriminators is proposed to this end, where a progressive pan-sharpening strategy underpins the generator to overcome the significant difference between spatial resolutions of LiDAR and SAR-related inputs. Forest height estimates with high spatial resolution and vertical accuracy are generated through a continuous generative and adversarial process. UAVSAR PolInSAR and LVIS LiDAR data collected over tropical and boreal forest sites are used for experiments. Ablation study is conducted over the boreal site evidencing the superiority of the progressive generator with dual discriminators employed in PolGAN (RMSE: 1.21 m) in comparison with the standard generator with dual discriminators (RMSE: 2.43 m) and the progressive generator with a single coherence (RMSE: 2.74 m) or spatial discriminator (RMSE: 5.87 m). Besides that, by reducing the dependency on theoretical models and utilizing the shape, texture, and spatial information embedded in the high-spatial-resolution features, the PolGAN method achieves an RMSE of 2.37 m over the tropical forest site, which is much more accurate than the traditional PolInSAR-based Kapok method (RMSE: 8.02 m).",USA,USA,Moist tropical,Forest,Howland research forest northeast of Bangor in the U.S. state of Maine; Lope National Park located in central Gabon,"44°48′41′’ N to 45°10′18′’ N; 68°34′22′’ W to 68°45′48′’ W and 0°2′12′’ S to 0°19′34′’ S, 11°27′31′’ E to 11°43′29′’ E",from study,,"Fixed-wing, Commercial",Uninhabited Aerial Vehicle Synthetic Aperture Radar,LiDAR,LVIS laser altimeter,20–25 m,22.5 m,not reported,,"LVIS data over the Howland site were captured on 6 August 2009 with a 20 m footprint diameter, an 8.5 km flight altitude, and a 1.7 km swath width. LVIS data over the Lope site were collected on 02 March 2016 with an 18 m footprint diameter, a 7.3 km flight altitude, and a 1.5 km swath width.",no,Single UAV flight,One time point,"LVIS data over the Howland site 6 August 2009 , and over the Lope site 02 March 2016.",7.3 km,"Canopy height, Canopy density",,Forest structure/dynamics,To estimate forest height based on the synergy of the high-resolution L-band repeat-pass Polarimetric Synthetic Aperture Radar Interferometry using deep learning method,"The deep learning model PolGAN achieved an RMSE of 2.37 m over the tropical forest site, which was much more accurate than the traditional methods. ",UAV-LiDAR provided forest height.,not reported,NA,not reported
35,,,HJ,OP,Biomass Estimation Using 3D Data from Unmanned Aerial Vehicle Imagery in a Tropical Woodland,"['Kachamba, DJ', 'Orka, HO', 'Gobakken, T', 'Eid, T', 'Mwase, W']",Remote Sensing MDPI,2016,10.3390/rs8110968,"Application of 3D data derived from images captured using unmanned aerial vehicles (UAVs) in forest biomass estimation has shown great potential in reducing costs and improving the estimates. However, such data have never been tested in miombo woodlands. UAV-based biomass estimation relies on the availability of reliable digital terrain models (DTMs). The main objective of this study was to evaluate application of 3D data derived from UAV imagery in biomass estimation and to compare impacts of DTMs generated based on different methods and parameter settings. Biomass was modeled using data acquired from 107 sample plots in a forest reserve in miombo woodlands of Malawi. The results indicated that there are no significant differences (p = 0.985) between tested DTMs except for that based on shuttle radar topography mission (SRTM). A model developed using unsupervised ground filtering based on a grid search approach, had the smallest root mean square error (RMSE) of 46.7% of a mean biomass value of 38.99 Mg·ha−1. Amongst the independent variables, maximum canopy height (Hmax) was the most frequently selected. In addition, all models included spectral variables incorporating the three color bands red, green and blue. The study has demonstrated that UAV acquired image data can be used in biomass estimation in miombo woodlands using automatically generated DTMs.",Malawi,Malawi,Wet tropical,Forest,Muyobe community forest reserve,"11°35′S, 33°65′E",from study,"-11.5833, 34.0833",Fixed-wing,SenseFly eBee fixed-wing UAV,RGB,Canon IXUS127 HS Digital camera.,1 m × 1 m,1 m,not reported,,Repeated flights over known areas,no,23-27 April 2015,4 scans,"4 scans in four days in April, 2015",325,"Canopy density, Canopy height, Canopy spectral properties, Biomass Estimation",Ground reference biomass,Forest structure/dynamics,To estimate the forest biomass from UAV,UAV acquired image data can be used in biomass estimation,Used to collect RGB data,Multiple references for differnt variables,Not listed,Not listed
193,,,HJ,OP,"Composition, structure and regeneration strategy of Campnosperma panamense (Anacardiaceae) swamp forests in Darien, Panama","Ibáñez, A., Baules, A., Venegas, M. A., Sanchez, C., Flores, R., & Candanedo, I.",Revista de Biología T,2025,10.15517/rev.biol.trop..v73i1.58860 ,"Introduction:Orey (Campnosperma panamense) swamp forests are found on the Caribbean coast of Central America, from Nicaragua to Panama, and in the Pacific of Colombia to Northern Ecuador. In Panama, orey grows in monospecific stands or is the dominant species in inundated mixed forests, mainly along the coasts of Bocas del Toro province and Comarca Ngäbe-Buglé. The species was known to occur in Darien province, in the Pacific, although almost no information on its distribution and forest extension in the region existed. Objective: To describe the structure and floristics of orey forests in Darien, map their extension, and propose a model for their regeneration strategy. Methods: This work is part of a vegetation mapping project of the Matusagaratí complex of wetlands. It includes the use of drones, ground truthing, vegetation sampling through temporary plots, and general plant collecting. A supervised classification of a Landsat satellite image was performed to delimit the orey forest extension. To study the orey forest regeneration strategy, a digitalization of forest gaps in high resolution WorldView-2 and Planet Scope images was performed. Gap frequency and turnover time for forest stands were calculated. Results: Several monospecific orey mature forest patches were found in remote areas of the Matusagaratí com-plex of wetlands, for a total of 1 267 hectares. A description of the floristics and structure of orey forests in Darien is presented. A conceptual model of orey mature forest development and gap regeneration is proposed. Conclusions: Our knowledge of the floristic composition, structure and distribution of orey forests in the Republic of Panama has increased. For the first time, a model about their regeneration strategy is proposed. These forests seem to be evolving to different formations. Finally, some hypotheses are proposed about how they might respond to changing environmental conditions",Panama,Panama,Wet tropical,Wetland,"Matusagaratí  complex  of  wetlands,  in  Darien  Province,  Pacific  Panama","8.1694°N, 77.8981°W",approximate,"8.169400, -77.898100",Commercial,A Phantom 4 PRO V 2.0 drone,RGB,not reported,not reported,,Forest patch of (2.93 km2) recognized in the field was selected as study site ,2.93 km2,not reported,no,not reported,not reported,not reported,not reported,Distance to Canopy Gaps,"Stem diameter, species number, turnover rate",,"To describe the structure and floristics of orey forests in Darien, map their extension, and propose a model for their regeneration strategy","Several monospecific orey mature forest patches were found in remote areas of the Matusagaratí complex of wetlands, for a total of 1 267 hectares.","Collected RGB data to of different ecosystems and vegetation types in the wetland, as well as the stages of gap formation and regeneration in orey forest.",not reported,NA,NA
155,,,LW,HJ,Drivers of Bornean Orangutan Distribution across a Multiple-Use Tropical Landscape,"['Milne, S', 'Martin, JGA', 'Reynolds, G', 'Vairappan, CS', 'Slade, EM', 'Brodie, JF', 'Wich, SA', 'Williamson, N', 'Burslem, DFRP']",REMOTE SENSING,2021,10.3390/rs13030458,"Logging and conversion of tropical forests in Southeast Asia have resulted in the expansion of landscapes containing a mosaic of habitats that may vary in their ability to sustain local biodiversity. However, the complexity of these landscapes makes it difficult to assess abundance and distribution of some species using ground-based surveys alone. Here, we deployed a combination of ground-transects and aerial surveys to determine drivers of the critically endangered Bornean Orangutan (Pongo pygmaeus morio) distribution across a large multiple-use landscape in Sabah, Malaysian Borneo. Ground-transects and aerial surveys using drones were conducted for orangutan nests and hemi-epiphytic strangler fig trees (Ficus spp.) (an important food resource) in 48 survey areas across 76 km(2), within a study landscape of 261 km(2). Orangutan nest count data were fitted to models accounting for variation in land use, above-ground carbon density (ACD, a surrogate for forest quality), strangler fig density, and elevation (between 117 and 675 m). Orangutan nest counts were significantly higher in all land uses possessing natural forest cover, regardless of degradation status, than in monoculture plantations. Within these natural forests, nest counts increased with higher ACD and strangler fig density, but not with elevation. In logged forest (ACD 14-150 Mg ha(-1)), strangler fig density had a significant, positive relationship with orangutan nest counts, but this relationship disappeared in a forest with higher carbon content (ACD 150-209 Mg ha(-1)). Based on an area-to-area comparison, orangutan nest counts from ground transects were higher than from counts derived from aerial surveys, but this did not constitute a statistically significant difference. Although the difference in nest counts was not significantly different, this analysis indicates that both methods under-sample the total number of nests present within a given area. Aerial surveys are, therefore, a useful method for assessing the orangutan habitat use over large areas. However, the under-estimation of nest counts by both methods suggests that a small number of ground surveys should be retained in future surveys using this technique, particularly in areas with dense understory vegetation. This study shows that even highly degraded forests may be a suitable orangutan habitat as long as strangler fig trees remain intact after areas of forest are logged. Enrichment planting of strangler figs may, therefore, be a valuable tool for orangutan conservation in these landscapes.",Malaysia,UK,Wet tropical,Forest,"southeast Sabah, Malaysia","5.11394–4.41325◦ N, 116.99576–117.49802◦ E",,,"Multi-rotor, Fixed-wing","Zeta Phantom FX 61, DJI Phantom 4 Pro","RGB, LiDAR","Canon S100 camera, onboard 20 MP camera",not reported,,76 km2,76 km2,Used drones to survey 76km2 for orangutan nests and canopy Ficus spp.,no,not reported,1 scan,1 scan completed for each study area,not reported,"Animal Detection, Focal tree identification",UAV derived LiDAR data,Animal ecology,Understand how land use type and the present of focal Ficus spp. Influence orangutan distribution in Sabah,Forest cover and figs have a positive impact on nesting frequency,Used to collect aerial imagery for detecting orangutan nests and Ficus spp. Also used previously collected LiDAR data to calculate structural metrics of forests,not reported,Available on request,not reported
9,,,HJ,LW,Community composition of tree and palm species following disturbance in a forest with bamboo in southwestern Amazonia Brazil,"Leonardo G. Ziccardi, Paulo Maurício Lima de Alencastro Graça, Evandro O. Figueiredo, Aurora M. Yanai, Philip M. Fearnside",Biotropica,2021,10.1111/btp.12979,"Anthropogenic disturbances such as selective logging and forest fires can cause further degradation in tropical forests. Various authors have suggested that logging and fire in southwestern Amazonia can increase bamboo abundance and contribute to slowing succession, but few studies have addressed community-composition patterns at either the local or the regional scale. We used a natural experiment with forest fire and post-burn logging to analyze the effects of increased bamboo abundance on the community composition of trees and palms in Brazil's Acre state in southwestern Amazonia. Bamboo abundance was expressed by variables collected both by field sampling and from high-resolution images using a remotely piloted aircraft (RPA). Disturbance in these forests was associated with a significant reduction in the number of crowns of emergent trees and palms and an increase in the canopy fraction occupied by bamboo. A significant negative relationship was observed between the canopy area occupied by bamboo and the number of tree and palm species, regardless of the level of disturbance. Bamboo density (culms m(-2)) and canopy area occupied by bamboo had significant effects on community composition, indicating that bamboo abundance is a key driver affecting the floristic composition of the forest. in Portuguese is available with online material.",Brazil,Brazil,Moist tropical,Forest,Acre state (private property near Rio Branco),9º59′10″S; 68º11′33″W,from study,"-9.986111, -68.192500",Multi-rotor,Phantom DJIP3 Advanced,RGB,1/2.3-inch CMOS,not explicitly stated,,185 ha (flight coverage),185 ha,3 transects (1100 m each); control vs fire vs logging treatments,no,Single campaign (2016),Single campaign (2016),Sampled 11 years after fire (2005) and 9 years after logging (2007),166 m,Tree Count; Canopy Cover; Biodiversity Index; Tree Density,Satellite imagery (RapidEye),Forest structure/dynamics,To analyze the effects of bamboo abundance on tree/palm community composition in forests affected by fire and logging,Bamboo abundance negatively relates to tree/palm species richness. Fire increases bamboo and reduces tree diversity.,Collected high-resolution images to map bamboo canopy fraction and count emergent tree/palm crowns.,not reported,Dryad Digital Repository (DOI provided),R scripts (vegan; iNEXT packages)
