"country","n_studies_in_country","n_studies_by_author_country"
"Brazil",29,27
"Costa Rica",15,3
"China",14,18
"Indonesia",11,2
"Malaysia",10,5
"Colombia",5,5
"Panama",5,3
"Cameroon",5,1
"USA",4,17
"Ecuador",4,1
"French Guiana",4,0
"Mexico",3,3
"Peru",3,2
"Australia",2,2
"Vietnam",2,2
"Malawi",2,1
"DR Congo",2,0
"Ghana",2,0
"Belgium",1,3
"Guatemala",1,1
"Nigeria",1,1
"Palau",1,1
"Portugal",1,1
"Taiwan",1,1
"Thailand",1,1
"Benin",1,0
"Gabon",1,0
"Guyana",1,0
"Honduras",1,0
"Kenya",1,0
"Mauritius",1,0
"Myanmar",1,0
"Suriname",1,0
"Germany",0,12
"UK",0,12
"France",0,3
"Japan",0,3
"Netherlands",0,3
"Spain",0,3
"Switzerland",0,2
"Canada",0,1
"Czech Republic",0,1
"Denmark",0,1
"Finland",0,1
"Italy",0,1
"Norway",0,1
"Singapore",0,1
